,Unnamed: 0,index,name,brand,price,size,short,n,cat,n_cal,n_carb,n_sugar,n_fat,n_tfa,n_prot,n_mass,cal,carb,sugar,fat,tfa,prot
60,60,69,Thüringer Bio-Rostbratwurst,GUT BIO,4.49,300-g-Packung,bratwurst,300.0,g,283.05,2.42,0.0,24.8,0.0,11.66,85.0,999.0,8.541176470588235,0.0,87.52941176470588,0.0,41.15294117647058
61,61,70,Bio-Mehrkornbrot,GUT BIO,1.29,500-g-Packung,multigrain bread,500.0,g,106.0,17.34,2.55,1.69,0.0,5.35,40.0,1325.0,216.75,31.875,21.125,0.0,66.875
62,62,71,Bio-Schinkensortiment,GUT BIO,2.79,80-g-Packung,ham,80.0,g,29.19,0.22,0.22,1.07,0.0,4.66,21.0,111.2,0.838095238095238,0.838095238095238,4.076190476190476,0.0,17.752380952380953
63,63,72,Mendoza Bio,MALBEC,2.99,"0,75-l-Flasche",wine,0.75,l,618.8,19.27,0.0,0.0,0.0,0.51,745.6,622.4517167381973,19.3837178111588,0.0,0.0,0.0,0.5130096566523604
64,64,73,Veganer Bio Aufschnitt,MEIN VEGGIE TAG,0.99,70-g-Packung,tofu,70.0,g,75.53,1.07,0.65,4.79,0.0,9.08,91.0,58.1,0.8230769230769232,0.5,3.684615384615385,0.0,6.984615384615385
65,65,74,Veganer Bio Tofu,MEIN VEGGIE TAG,1.79,Packung,tofu,200.0,packung/beutel,75.53,1.07,0.65,4.79,0.0,9.08,91.0,166.00000000000003,2.351648351648352,1.4285714285714288,10.52747252747253,0.0,19.95604395604396
66,66,75,Bio-Pfeffer,GUT BIO,1.49,40-g-Dose,pepper,40.0,g,5.77,1.47,0.01,0.07,0.0,0.24,2.3,100.34782608695652,25.56521739130435,0.1739130434782609,1.2173913043478264,0.0,4.173913043478262
67,67,76,Bio-Gewürz,GUT BIO,1.49,40-g-Dose,mixed spices,40.0,g,42.0,4.0,0.0,2.0,0.0,2.0,10.0,168.0,16.0,0.0,8.0,0.0,8.0
68,68,77,Bio-Knusperknäcke-Snack,GUT BIO,1.89,Packung,crackers,200.0,packung/beutel,81.6,9.81,1.31,4.23,0.17,1.06,16.0,1020.0,122.625,16.375,52.87500000000001,2.125,13.25
69,69,78,Bio-Eier,GUT BIO,2.99,10-stueck-Packung,eggs,10.0,stueck,347.49,1.75,0.9,23.11,0.09,30.52,243.0,14.3,0.0720164609053498,0.037037037037037,0.951028806584362,0.0037037037037037,1.2559670781893004
70,70,79,Bio-Reiswaffeln,GUT BIO,0.79,135-g-Packung,rice cake,135.0,g,34.83,7.34,0.08,0.25,0.0,0.74,9.0,522.4499999999999,110.1,1.2,3.75,0.0,11.1
71,71,80,Bio-Mini Mais- / Reiswaffeln,GUT BIO,0.79,45-g-Packung,rice cake,45.0,g,34.83,7.34,0.08,0.25,0.0,0.74,9.0,174.14999999999998,36.7,0.4,1.25,0.0,3.7
72,72,81,Bio-Bratwurst,GUT BIO,3.99,Packung,bratwurst,300.0,packung/beutel,283.05,2.42,0.0,24.8,0.0,11.66,85.0,999.0,8.541176470588235,0.0,87.52941176470588,0.0,41.15294117647058
73,73,82,Bio-Spaghetti,GUT BIO,0.99,500-g-Packung,pasta,500.0,g,213.3,41.66,0.75,1.25,0.0,7.83,135.0,790.0,154.29629629629628,2.7777777777777777,4.62962962962963,0.0,29.0
74,74,83,Bio-Nuss Sortiment,GUT BIO,3.49,eutel,mixed nuts,200.0,packung/beutel,813.78,34.73,6.58,70.49,0.0,23.7,137.0,1188.0,50.700729927007295,9.605839416058394,102.90510948905109,0.0,34.5985401459854
75,75,84,Schneekoppe Bio-Basis Müsli,,1.99,Packung,muesli,500.0,packung/beutel,193.6,41.64,11.0,1.82,0.0,6.16,55.0,1760.0,378.54545454545456,100.0,16.545454545454547,0.0,56.00000000000001
76,76,85,Schneekoppe Bio-Soft-Früchte,,2.39,eutel,apple sauce,200.0,packung/beutel,167.28,43.03,36.09,0.42,0.0,0.39,246.0,136.0,34.983739837398375,29.34146341463415,0.3414634146341463,0.0,0.3170731707317073
77,77,86,Bio-Agavendicksaft,SCHNEEKOPPE,2.39,360-ml-Spender,agave syrup,360.0,ml,170.5,42.0,37.42,0.25,0.0,0.05,55.0,1116.0,274.90909090909093,244.93090909090915,1.6363636363636365,0.0,0.3272727272727273
78,78,87,Schneekoppe Bio-Getreide,,1.79,eutel,couscous,400.0,packung/beutel,591.36,122.6,0.53,0.84,0.0,20.01,528.0,448.0,92.87878787878788,0.4015151515151515,0.6363636363636364,0.0,15.15909090909091
79,79,88,Schneekoppe Bio-Kokosöl,,2.59,250-ml-Glas,coconut oil,250.0,ml,121.31,0.0,0.0,13.47,0.0,0.0,13.6,2229.9632352941176,0.0,0.0,247.61029411764707,0.0,0.0
80,80,89,Schneekoppe Bio-Dinkelmehl,,1.79,1-kg-Packung,spelt flour,1.0,kg,28.73,5.97,0.58,0.21,0.0,1.24,8.5,3380.0,702.3529411764705,68.23529411764704,24.70588235294117,0.0,145.88235294117646
81,81,90,Bio-Quinoa,SCHNEEKOPPE,1.99,400-g-Beutel,quinoa,400.0,g,111.0,19.7,0.8,1.77,0.0,4.07,92.5,480.0,85.1891891891892,3.45945945945946,7.654054054054055,0.0,17.6
